time,voltage_magnitude,voltage_angle
1.0,0.9999107325084667,-0.00019453828561407507
2.0,0.9999107324820216,-0.00019453829579413055
3.0,0.999910732481484,-0.00019453829586557294
4.0,0.999910732481474,-0.0001945382958630224
5.0,0.9999107324814738,-0.00019453829586271143
6.0,0.999910732481474,-0.00019453829586293386
7.0,0.999910732481474,-0.00019453829586293386
8.0,0.999910732481474,-0.00019453829586293386
9.0,0.999910732481474,-0.00019453829586293386
10.0,0.999910732481474,-0.00019453829586293386
11.0,0.999910732481474,-0.00019453829586293386
12.0,0.999910732481474,-0.00019453829586293386
13.0,0.999910732481474,-0.00019453829586293386
14.0,0.999910732481474,-0.00019453829586293386
15.0,0.999910732481474,-0.00019453829586293386
16.0,0.999910732481474,-0.00019453829586293386
17.0,0.999910732481474,-0.00019453829586293386
18.0,0.999910732481474,-0.00019453829586293386
19.0,0.999910732481474,-0.00019453829586293386
20.0,0.9999052041505938,-0.00020697969839050874
21.0,0.999911014840756,-0.00019446880689630663
22.0,0.9999110367509954,-0.00019446100433596314
23.0,0.9999110371869506,-0.00019446096175506277
24.0,0.9999110371947997,-0.00019446096421858885
